Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:316: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: d31b0c18-c90a-422a-be83-b262e70757f4
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
120	4.344	    3149	166.5	256	85.6	4.384
121	4.344	    3151	166.4	256	85.6	4.383
122	4.469	    3149	166.5	256	85.5	4.512
123	4.250	    3151	166.4	256	85.5	4.312
124	4.438	    3153	166.3	256	85.5	4.472
125	4.375	    3151	166.4	256	85.4	4.442
126	4.344	    3150	166.4	256	85.3	4.397
127	4.531	    3155	166.2	256	85.4	4.609
128	4.312	    3151	166.4	256	85.2	4.353
129	4.500	    3153	166.3	256	85.2	4.496
130	4.438	    3148	166.5	256	85.1	4.465
131	4.219	    3150	166.5	256	85.0	4.263
132	4.438	    3149	166.5	256	85.0	4.501
133	4.312	    3152	166.3	256	85.0	4.349
134	4.094	    3150	166.5	256	84.9	4.133
135	4.250	    3151	166.4	256	84.9	4.303
136	4.156	    3150	166.4	256	84.8	4.216
137	4.531	    3152	166.4	256	84.8	4.588
138	4.156	    3152	166.3	256	84.7	4.210
139	4.219	    3152	166.3	256	84.7	4.272
140	4.062	    3151	166.4	256	84.6	4.114
141	4.125	    3150	166.4	256	84.5	4.168
142	4.406	    3149	166.5	256	84.4	4.453
143	4.281	    3151	166.4	256	84.5	4.314
144	4.344	    3151	166.4	256	84.4	4.395
145	4.406	    3149	166.5	256	84.3	4.446
146	4.219	    3151	166.4	256	84.3	4.264
147	4.156	    3152	166.3	256	84.3	4.211
148	4.125	    3150	166.4	256	84.2	4.181
149	4.156	    3152	166.3	256	84.2	4.215
150	4.281	    3153	166.3	256	84.1	4.312
151	4.250	    3157	166.1	256	84.2	4.291
152	4.188	    3153	166.3	256	84.0	4.224
153	4.281	    3153	166.3	256	84.0	4.328
154	4.312	    3151	166.4	256	83.9	4.380
155	4.219	    3153	166.3	256	83.9	4.267
156	4.312	    3153	166.3	256	83.8	4.356
157	4.156	    3152	166.4	256	83.7	4.198
158	4.156	    3151	166.4	256	83.7	4.195
159	4.625	    3150	166.4	256	83.6	4.590
160	4.031	    3150	166.4	256	83.5	4.079
161	4.094	    3154	166.2	256	83.6	4.150
162	4.188	    3151	166.4	256	83.4	4.220
163	4.312	    3153	166.3	256	83.4	4.362
164	4.125	    3152	166.3	256	83.4	4.187
165	4.094	    3150	166.4	256	83.3	4.144
166	4.094	    3147	166.6	256	83.1	4.151
167	4.094	    3151	166.4	256	83.2	4.140
168	4.219	    3153	166.3	256	83.2	4.276
169	4.062	    3154	166.2	256	83.2	4.099
170	4.062	    3151	166.4	256	83.0	4.131
171	3.984	    3155	166.2	256	83.1	4.033
172	4.125	    3150	166.5	256	82.9	4.174
173	4.125	    3152	166.3	256	82.9	4.162
174	4.125	    3151	166.4	256	82.8	4.180
175	4.000	    3151	166.4	256	82.8	4.052
176	3.984	    3151	166.4	256	82.7	4.048
177	4.062	    3152	166.3	256	82.7	4.108
178	4.062	    3152	166.3	256	82.6	4.117
179	3.938	    3154	166.2	256	82.6	3.987
180	3.969	    3152	166.3	256	82.5	4.025
181	3.938	    3151	166.4	256	82.5	3.987
182	3.797	    3154	166.2	256	82.5	3.860
183	4.094	    3155	166.2	256	82.5	4.143
184	3.953	    3151	166.4	256	82.3	4.003
185	4.000	    3153	166.3	256	82.3	4.045
186	3.969	    3149	166.5	256	82.1	4.012
187	3.688	    3152	166.3	256	82.2	3.751
188	4.125	    3154	166.2	256	82.2	4.181
189	4.125	    3153	166.3	256	82.1	4.188
190	4.438	    3151	166.4	256	82.0	4.513
191	3.906	    3155	166.2	256	82.0	3.959
192	4.094	    3155	166.2	256	82.0	4.143
193	4.219	    3151	166.4	256	81.8	4.247
194	4.125	    3156	166.1	256	81.9	4.170
195	3.969	    3157	166.1	256	81.9	4.007
196	4.031	    3152	166.3	256	81.7	4.099
197	4.156	    3157	166.1	256	81.8	4.202
198	4.219	    3154	166.2	256	81.6	4.261
199	4.062	    3152	166.4	256	81.5	4.104
200	3.828	    3152	166.3	256	81.5	3.889
201	4.031	    3150	166.5	256	81.4	4.077
202	4.094	    3153	166.3	256	81.4	4.116
203	3.922	    3154	166.2	256	81.4	3.980
204	4.219	    3156	166.1	256	81.4	4.257
205	4.000	    3155	166.2	256	81.3	4.052
206	4.125	    3155	166.2	256	81.2	4.197
207	3.922	    3156	166.1	256	81.2	3.978
208	4.094	    3156	166.1	256	81.2	4.126
209	4.062	    3153	166.3	256	81.0	4.091
210	4.125	    3155	166.2	256	81.0	4.169
211	4.438	    3154	166.2	256	81.0	4.478
212	4.094	    3155	166.2	256	80.9	4.131
213	4.875	    3154	166.2	256	80.9	4.811
214	3.969	    3154	166.2	256	80.8	4.011
215	3.734	    3157	166.1	256	80.8	3.783
216	3.859	    3150	166.4	256	80.6	3.914
217	3.969	    3155	166.2	256	80.7	3.998
218	3.922	    3154	166.2	256	80.6	3.973
219	3.766	    3158	166.0	256	80.6	3.820
220	3.828	    3154	166.2	256	80.5	3.885
221	4.156	    3155	166.2	256	80.5	4.184
222	4.031	    3160	165.9	256	80.5	4.018
223	3.781	    3156	166.1	256	80.4	3.827
224	3.828	    3154	166.2	256	80.3	3.885
225	3.953	    3157	166.1	256	80.3	3.997
226	4.094	    3158	166.0	256	80.3	3.947
227	3.812	    3161	165.8	256	80.3	3.871
228	3.875	    3157	166.0	256	80.1	3.925
229	3.859	    3157	166.0	256	80.1	3.917
230	3.844	    3158	166.0	256	80.1	3.902
231	3.797	    3159	166.0	256	80.0	3.862
232	4.031	    3156	166.1	256	79.9	4.068
233	3.797	    3154	166.3	256	79.8	3.850
234	3.891	    3157	166.0	256	79.8	3.933
235	3.875	    3156	166.1	256	79.7	3.936
236	3.938	    3154	166.2	256	79.6	3.982
237	4.094	    3158	166.0	256	79.7	4.150
238	3.812	    3157	166.1	256	79.6	3.860
239	4.156	    3157	166.1	256	79.5	4.197
240	4.094	    3155	166.2	256	79.5	4.145
241	4.094	    3157	166.1	256	79.5	4.154
242	4.031	    3158	166.0	256	79.4	4.030
243	4.250	    3154	166.2	256	79.3	3.863
244	4.000	    3158	166.0	256	79.3	4.043
245	3.844	    3153	166.3	256	79.2	3.902
246	3.938	    3156	166.1	256	79.2	3.983
247	3.844	    3158	166.0	256	79.2	3.908
248	3.844	    3154	166.2	256	79.0	3.897
249	3.875	    3158	166.0	256	79.0	3.932
250	3.906	    3156	166.1	256	79.0	3.936
251	3.984	    3156	166.1	256	78.9	4.001
252	3.781	    3154	166.3	256	78.8	3.838
253	3.828	    3154	166.3	256	78.7	3.882
254	4.156	    3156	166.1	256	78.7	4.207
255	3.844	    3157	166.1	256	78.7	3.906
256	3.969	    3156	166.1	256	78.6	4.026
257	3.922	    3153	166.3	256	78.5	3.971
258	3.812	    3158	166.0	256	78.6	3.871
259	3.969	    3157	166.1	256	78.5	4.006
260	3.719	    3158	166.0	256	78.5	3.779
261	3.766	    3154	166.2	256	78.3	3.823
262	3.797	    3159	166.0	256	78.4	3.846
263	3.688	    3157	166.0	256	78.3	3.751
264	3.891	    3159	166.0	256	78.3	3.951
265	3.953	    3160	165.9	256	78.3	4.001
266	3.781	    3157	166.1	256	78.1	3.817
267	3.844	    3158	166.0	256	78.1	3.898
268	3.812	    3160	165.9	256	78.1	3.872
269	3.766	    3156	166.1	256	78.0	3.822
270	3.953	    3158	166.0	256	77.9	3.888
271	3.750	    3159	166.0	256	77.9	3.809
272	3.641	    3159	166.0	256	77.9	3.696
273	3.578	    3161	165.9	256	77.9	3.639
274	3.656	    3155	166.2	256	77.7	3.711
275	3.844	    3154	166.2	256	77.6	3.903
276	3.875	    3160	165.9	256	77.7	3.883
277	3.812	    3160	165.9	256	77.6	3.860
278	3.734	    3159	166.0	256	77.6	3.778
279	3.812	    3160	165.9	256	77.5	3.865
280	3.672	    3158	166.0	256	77.4	3.737
281	4.031	    3159	166.0	256	77.4	4.053
282	3.906	    3159	165.9	256	77.4	3.950
283	3.891	    3159	166.0	256	77.3	3.944
284	3.906	    3159	165.9	256	77.2	3.973
285	3.906	    3154	166.2	256	77.1	3.965
286	3.953	    3157	166.1	256	77.1	4.008
287	3.781	    3160	165.9	256	77.1	3.821
288	3.672	    3162	165.8	256	77.1	3.725
289	3.953	    3158	166.0	256	76.9	3.998
290	3.969	    3158	166.0	256	76.9	4.009
291	3.875	    3159	166.0	256	76.9	3.930
292	3.766	    3160	165.9	256	76.8	3.806
293	3.953	    3266	160.5	512	79.4	4.002
294	4.094	    3273	160.2	512	79.5	3.793
295	3.719	    3262	160.7	512	79.1	3.778
296	4.000	    3272	160.2	512	79.3	4.022
297	3.734	    3266	160.5	512	79.2	3.789
298	3.922	    3272	160.2	512	79.2	3.964
299	3.781	    3268	160.4	512	79.1	3.838
300	3.766	    3272	160.2	512	79.1	3.774
301	3.906	    3267	160.5	512	79.0	3.960
302	3.844	    3272	160.2	512	79.0	3.891
303	3.688	    3272	160.2	512	79.0	3.746
304	3.734	    3275	160.1	512	79.0	3.786
305	3.750	    3269	160.4	512	78.8	3.802
306	3.875	    3263	160.7	512	78.6	3.911
307	3.781	    3269	160.4	512	78.7	3.840
308	3.719	    3268	160.4	512	78.6	3.780
309	3.797	    3278	160.0	512	78.8	3.848
310	3.719	    3271	160.3	512	78.6	3.773
311	3.703	    3277	160.0	512	78.6	3.757
312	3.688	    3271	160.3	512	78.4	3.750
313	3.703	    3273	160.2	512	78.4	3.763
314	3.719	    3265	160.6	512	78.2	3.776
315	3.766	    3273	160.2	512	78.3	3.829
316	3.719	    3271	160.3	512	78.2	3.769
317	3.750	    3275	160.1	512	78.3	3.797
318	3.531	    3273	160.2	512	78.2	3.582
319	3.656	    3273	160.2	512	78.1	3.706
320	3.531	    3278	160.0	512	78.2	3.588
321	3.938	    3273	160.2	512	78.0	3.984
322	3.641	    3281	159.8	512	78.1	3.706
323	3.703	    3281	159.8	512	78.1	3.747
324	4.156	    3275	160.1	512	77.9	3.693
325	3.516	    3277	160.0	512	77.9	3.574
326	3.906	    3275	160.1	512	77.8	3.959
327	3.641	    3275	160.1	512	77.7	3.705
328	3.906	    3270	160.3	512	77.6	3.961
329	4.062	    3275	160.1	512	77.6	4.071
330	3.938	    3276	160.0	512	77.6	3.986
331	3.688	    3270	160.3	512	77.4	3.752
332	3.859	    3275	160.1	512	77.5	3.912
333	3.797	    3279	159.9	512	77.5	3.855
334	3.688	    3274	160.1	512	77.3	3.750
335	3.875	    3264	160.6	512	77.0	3.934
336	3.703	    3268	160.4	512	77.1	3.777
337	3.656	    3273	160.2	512	77.1	3.712
338	3.844	    3274	160.1	512	77.1	3.875
339	3.719	    3267	160.5	512	76.9	3.778
340	3.844	    3268	160.4	512	76.8	3.762
341	3.703	    3263	160.7	512	76.7	3.767
342	3.812	    3275	160.1	512	76.9	3.864
343	3.703	    3270	160.3	512	76.7	3.762
344	3.562	    3272	160.2	512	76.7	3.621
345	3.844	    3269	160.4	512	76.6	3.912
346	3.688	    3272	160.3	512	76.6	3.757
347	3.812	    3271	160.3	512	76.5	3.862
348	3.656	    3265	160.6	512	76.4	3.718
349	3.688	    3267	160.5	512	76.3	3.747
350	3.766	    3271	160.3	512	76.4	3.808
351	3.719	    3270	160.3	512	76.3	3.774
352	3.719	    3274	160.1	512	76.3	3.779
353	3.750	    3265	160.6	512	76.1	3.784
354	3.766	    3270	160.3	512	76.1	3.829
355	3.828	    3278	159.9	512	76.3	3.886
356	3.703	    3264	160.6	512	75.9	3.758
357	3.609	    3273	160.2	512	76.0	3.674
358	3.672	    3264	160.6	512	75.8	3.731
359	3.750	    3271	160.3	512	75.9	3.808
360	3.828	    3268	160.4	512	75.8	3.850
361	3.812	    3269	160.4	512	75.7	3.873
362	3.734	    3268	160.4	512	75.6	3.801
363	3.516	    3275	160.1	512	75.8	3.566
364	3.672	    3274	160.1	512	75.7	3.729
365	3.547	    3269	160.4	512	75.5	3.618
366	3.984	    3277	160.0	512	75.7	4.044
367	3.484	    3270	160.3	512	75.4	3.446
368	3.656	    3270	160.3	512	75.4	3.695
